Projeto;Chave;Resumo;Tipo de item;Status;Prioridade;Resolução;Responsável;Relator;Criador;Criado;Última visualização;Atualizado(a);Resolvido;Versões afetadas;Versões corrigidas;Componentes;Data limite;Votos;Seguidores;Imagens;Estimativa original;Estimativa de trabalho restante;Tempo gasto;Razão Trabalhada;Subtarefas;Itens associados;Ambiente;Descrição_x;Nível de Segurança;Progresso;Σ de Progresso;Σ de Tempo Gasto;Σ da estimativa de trabalho restante;Σ da Estimativa Original;Categorias;Categoria do status alterada;Categoria do status;Pai;Actual end;Actual start;Approvers;Category;Change reason;Change risk;Change type;Dispositivo;Epic Color;Epic Link;Epic Name;Epic Status;Flagged;Impact;Indisponível ou Inoperante;Issue color;Formulários bloqueados;Formulários abertos;Organizations;Parent Link;Participantes;Project overview key;Project overview status;Rank;Request Type;Responsável pela execução;Sistema Operacional;Sprint;Start date;Status Prazo;Story Points;Story point estimate;Formulários enviados;Target end;Target start;Team;Formulários totais;Unidade;Versão do App;[CHART] Date of First Response;development;Tempo da Primeira Resposta;Tempo de Solução;Data do registro;Pessoa que fez o registro;Tipo;"#JIRA
Card";#Solicitud Quipux;Descrição_y;Equipe;Cliente;Estimativa (h);Versão;Data Pré;Data Produção;Observações;Producto;Unnamed: 13;Responsáveis;Unnamed: 14;Unnamed: 15;Unnamed: 11;Observação;#Solicitud;Produto;"Equipe/Analista
Responsável";"https://www.quipux.com/svn/Arquitectura/Arquitectura%20Script/084_Shopping_brasil/Scripts/SSDD/Back_Version_1.5
"
RJ - Comitê Técnico - Web;OABDRJ-378;"Remetente do e-mail com identificação com ""via""";Melhoria;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-05-08 16:33:00;13/mai/24 3:41 PM;13/mai/24 3:41 PM;2024-05-13 15:41:00;;;;;0;2;WhatsApp Image 2024-05-08 at 11.18.35.jpeg;;;;;;;;"O e-mail de lembrete está vindo diferente do padrão de e-mail que enviado normalmente. O e-mail de lembrete de e-mail está vindo com remetente com o via….

!WhatsApp Image 2024-05-08 at 11.18.35.jpeg|width=701,height=144,alt=""WhatsApp Image 2024-05-08 at 11.18.35.jpeg""!";;;;;;;;13/mai/24 3:41 PM;Itens concluídos;Mensageria;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00h2f:;;;;;;;;;;;;Nenhum;;;;2024-05-09 10:37:00;;0;4;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-374;Não consta novos serviço pulicados no chatbot;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-05-03 13:51:00;28/mai/24 1:50 PM;28/mai/24 1:50 PM;2024-05-28 13:50:00;;;;;0;2;image-20240503-165149.png;;;;;;;;"Não consta os novos serviços no chatbot, exemplo, atendimento procon.

!image-20240503-165149.png|width=333,height=431,alt=""image-20240503-165149.png""!";;;;;;;;28/mai/24 1:50 PM;Itens concluídos;Chatbot;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00guf:;;;;;;;;;;;;Nenhum;;;;2024-05-16 10:47:00;;12;24;;Alex;Solicitação;OABDRJ-374;;Não consta novos serviço pulicados no chatbot;;RJ;;;;;;;;;;;;Card resolvido;;;;
RJ - Comitê Técnico - Web;OABDRJ-371;Apresentação de limite de tamanho indevido;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-05-03 12:12:00;21/mai/24 3:58 PM;21/mai/24 3:59 PM;2024-05-21 15:59:00;;;;;0;2;image-20240503-151333.png;;;;;;;;"Está sendo apresentado na tela uma limitação de tamanho indevida de 1mb, sendo que o correto é 10mb.

!image-20240503-151333.png|width=1235,height=276,alt=""image-20240503-151333.png""!";;;;;;;;21/mai/24 3:59 PM;Itens concluídos;Interface Cidadão;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00gtr:;;;;;;;;;;;;Nenhum;;;;2024-05-03 13:29:00;;0;18;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-370;Não está salvando o endereço no formulário;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-05-03 11:12:00;03/mai/24 11:59 AM;03/mai/24 11:59 AM;2024-05-03 11:59:00;;;;;0;2;WhatsApp Image 2024-05-03 at 11.05.28 (1).jpeg;;;;;;;;"Mesmo cadastrando o endereço e clicando em salvar, o endereço não fica salvo no formulário e com isso cidadão não consegue finalizar a solicitação por falta de cadastro de endereço.



!WhatsApp Image 2024-05-03 at 11.05.28 (1).jpeg|width=1600,height=588,alt=""WhatsApp Image 2024-05-03 at 11.05.28 (1).jpeg""!";;;;;;;;03/mai/24 11:59 AM;Itens concluídos;Interface Cidadão;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00gsn:;;;;;;;;;;;;Nenhum;;;;2024-05-03 11:47:00;;0;0;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-367;Erro ao baixar a procuração;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-05-03 10:43:00;03/mai/24 12:11 PM;03/mai/24 12:11 PM;2024-05-03 12:11:00;;;;;0;2;image-20240503-134440.png;;;;;;;;"O documento baixado está como imagem ao invés do pdf. E o arquivo apresentou erro ao baixar.



!image-20240503-134440.png|width=1236,height=328,alt=""image-20240503-134440.png""!";;;;;;;;03/mai/24 12:11 PM;Itens concluídos;Interface Cidadão;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00grz:;;;;;;;;;;;;Nenhum;;;;2024-05-03 11:47:00;;0;0;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-366;API de avaliação com APP não está permitindo enviar avaliação;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-05-03 08:35:00;09/mai/24 5:45 PM;09/mai/24 5:45 PM;2024-05-09 17:45:00;;;;;0;2;WhatsApp Image 2024-05-02 at 15.10.53.jpeg;;;;;;;;"Ao tentar avaliar um atendimento feito pelo APP apresenta mensagem de erro indevidamente. 



!WhatsApp Image 2024-05-02 at 15.10.53.jpeg|width=798,height=1600,alt=""WhatsApp Image 2024-05-02 at 15.10.53.jpeg""!";;;;;;;;09/mai/24 5:45 PM;Itens concluídos;Integração;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00grr:;;;;;;;;;;;;Nenhum;;;;2024-05-03 09:18:00;;0;6;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-362;Não está apresentando o nome do serviço na tela de agendamento;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-30 18:26:00;;02/mai/24 11:49 AM;2024-05-02 11:49:00;;;;;0;3;image-20240430-212656.png;;;;;;;;"!image-20240430-212656.png|width=789,height=249,alt=""image-20240430-212656.png""!";;;;;;;QUIPUX;02/mai/24 11:49 AM;Itens concluídos;Interface Cidadão;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00gi7:;;;;;;;;;;;;Nenhum;;;;2024-05-02 08:27:00;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-360;Alteração da URL de produção;Tarefa;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-29 20:10:00;09/mai/24 5:45 PM;09/mai/24 5:45 PM;2024-05-09 17:45:00;;;;;0;3;;;;;;;;;"URL de produção [https://login.rj.gov.br,|https://login.rj.gov.br,] será descontinuada. A nova raiz será:  [https://portal.idp.rj.gov.br|https://portal.idp.rj.gov.br]

Necessário providenciar as novas URLs, atualizar as cartas de serviços do confluence. Alinhar nas reuniões com Proderj a mudança.";;;;;;;QUIPUX;09/mai/24 5:45 PM;Itens concluídos;Integração;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00gcf:;;;;;;;;;;;;Nenhum;;;;2024-04-29 22:07:00;;0;9;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-354;Atraso no envio de e-mail;Bug;Concluído;Media;Itens concluídos;Alex Goulart;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-18 19:37:00;16/mai/24 1:56 PM;16/mai/24 1:56 PM;2024-05-16 13:56:00;;;;;0;3;image-20240418-224000.png;;;;;;;;"Foi enviado um e-mail de iniciou o serviço atrasado, pois a solicitação foi aberta de manhã e cancelada no mesmo período. Mesmo assim o sistema enviou um email.

!image-20240418-224000.png|width=1229,height=439,alt=""image-20240418-224000.png""!";;;;;;;QUIPUX;16/mai/24 1:56 PM;Itens concluídos;Mensageria;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00fj3:;;;;;;;;;;;;Nenhum;;;;2024-04-19 09:20:00;;0;27;;;;;;;;;;;;;;;;;;;;;;;;
RJ - Comitê Técnico - Web;OABDRJ-353;Publicação da Carta de Serviço no Portal RJ.;Tarefa;Concluído;Media;Itens concluídos;Ana Sousa;Luiz Carlos de Miranda;Luiz Carlos de Miranda;2024-04-18 15:16:00;;03/mai/24 8:44 AM;2024-05-03 08:44:00;;;;30/abr/24;0;1;;;;;;;;;;;;;;;;PRODERJ;03/mai/24 8:44 AM;Itens concluídos;Abril/24 - 12 Novos Serviços Síncronos;;;;;;;;;;;;;;;;purple;;;;;;;;0|i00fhz:;;;;;;;;;;;;Nenhum;;;;;;0;14;;;;;;;;;;;;;;;;;;;;;;;;
